,Relation,Count,Example 1,Example 2,Example 3
217,direct site of,63.0,Anatomic location of malignant melanoma with uninvolved deep margin in excised skin specimen (observable entity) -- direct site of-> Specimen from skin obtained by excision (specimen),Pulmonary vein wedge pressure - v wave -- direct site of-> Structure of pulmonary vein great vessel (body structure),Second greatest dimension of excised primary malignant neoplasm -- direct site of-> Tissue specimen obtained by excision
218,precondition of,18.0,Standing height (observable entity) -- precondition of-> Orthostatic body position (finding),Sitting diastolic blood pressure -- precondition of-> Sitting position,Ambulatory post-hyperaemic venous pressure -- precondition of-> Post hyperaemic
220,has device characteristic,920.0,Sterile -- has device characteristic-> Alginate dressing sterile 10cm x 20cm (physical object),"Sterile -- has device characteristic-> Non-absorbable sutures sterile silk braided 3gauge, 45cm","Bioabsorbable (qualifier value) -- has device characteristic-> Multi-purpose surgical mesh, synthetic polymer, bioabsorbable"
221,has scale type,912.0,Quantitative -- has scale type-> Finding of temperature of pinna,Quantitative -- has scale type-> Heart rate on admission,Quantitative -- has scale type-> Measured oral intake of nutritionally complete liquid supplement in 24 hours (observable entity)
222,has time aspect,379.0,Single point in time (qualifier value) -- has time aspect-> Proportion of energy requirement from protein and protein derivatives in 24 hours (observable entity),Single point in time (qualifier value) -- has time aspect-> Second greatest dimension of excised neoplasm,Single point in time (qualifier value) -- has time aspect-> Status of visceral pleura invasion by tumor (observable entity)
223,has process duration,362.0,24 hours (qualifier value) -- has process duration-> Measured quantity of intake of carbohydrate via parenteral nutrition in 24 hours,24 hours (qualifier value) -- has process duration-> Plant fibre measured intake from oral nutrition in 24 hours,24 hours (qualifier value) -- has process duration-> Estimated quantity of intake of psyllium in 24 hours
230,state of matter of,132.0,Cream (qualifier value) -- state of matter of-> Semi-solid (state of matter),Hard capsule (qualifier value) -- state of matter of-> Solid (state of matter),Infusion solution (product) -- state of matter of-> Liquid (state of matter)
232,has priority,1915.0,Emergency -- has priority-> Closed cardiac massage+ventil.,Urgent -- has priority-> Referral by gynaecologist,Emergency -- has priority-> Admit oral surgical emergency (procedure)
233,has communication with wound,1462.0,"Open injury (qualifier value) -- has communication with wound-> Open fracture of vault of skull without mention of intracranial injury, state of consciousness unspecified (disorder)","Open injury (qualifier value) -- has communication with wound-> Hind brain laceration with open intracranial wound, with loss of consciousness of unspecified duration (disorder)",Open injury (qualifier value) -- has communication with wound-> Open wound of testes with complication (disorder)
234,has extent,1240.0,"Partial -- has extent-> Longmire operation, bile duct anastomosis",Radical -- has extent-> Salvage cystoprostatectomy,Total -- has extent-> Bilateral mastectomy with excision of bilateral regional lymph nodes (procedure)
244,has revision status,1847.0,Primary -- has revision status-> Primary arthrodesis of first metatarsophalangeal joint only,Main -- has revision status-> Primary closed reduction of fracture dislocation and fixation by wire(s) (procedure),Primary -- has revision status-> Primary foraminoplasty of lumbar spine using laser (procedure)
254,has episodicity,180.0,New episode -- has episodicity-> Recurrent salmonella septicemia,New episode -- has episodicity-> Basal cell carcinoma recurrent following cryosurgery,New episode -- has episodicity-> Acute exacerbation of COPD
